"Customer Name","Account Number","Transaction Number","Merchant Number","Merchant Description","Transaction Amount"
"Michael Smith","11111","15","90282822","KROGER #2 4000 POLK    HOUSTON","2300.0"
"Michael Smith","11111","26","4.45E+12","COSMO BLEU             HOUSTON","276.52"
"Albares Cammy","14829","26","1VKWOGBF44BU45L","DOORDASH*7-ELEVEN      SAN FRANCISCO","10.2"
"Albares Cammy","14829","30","1VKWOGBF44BU45L","DOORDASH*RAOS          SAN FRANCISCO","50.07"
"Gibes Cory","17538","4","8027784068","AMC SCC CHOICES CAFE   ALBANY","1.37"
"Wieser Sage","18054","27","8.44E+11","TXTAG 888 468 9824     8884689824","100.0"
"Wieser Sage","18054","30","2.95E+13","BIRYANI POT            HOUSTON","65.0"
"Vocelka Francine","20759","27","4.69E+14","CENTRAL MARKET #747    DALLAS","75.06"
"Vocelka Francine","20759","58","4.45E+12","TST* BOB S STEAK & CHO DALLAS","387.34"
"Vocelka Francine","20759","77","4.45E+12","CVS/PHARMACY #11065    DALLAS","299.39"
"John Doe","22222","10","4.45E+12","Best Buy		New York","10000.0"
"Tollner Mitsue","25643","4","4.45E+12","TST* DESSERT GALLERY B CHICAGO","40.5"
"Tollner Mitsue","25643","35","5.39E+13","SQ *BLACK HOLE COFFEE  Chicago","11.74"
"Klonowski Karl","25770","30","7.20E+13","CHARLESTON S 60        MESA","246.65"
"Whobrey Yuki","26607","30","8.00E+14","PEET'S #04403          NEWPORT BEACH","5.45"
"Whobrey Yuki","26607","47","8.00E+14","CITY OF LAGUNA BEACH I LAGUNA BEACH","2.75"
"Sawchuk Nelida","28064","4","3.90E+11","USA*FIVE STAR FOOD VEN KNOXVILLE","3.7"
"Amigon Minna","28226","43","1VKWOGBF44BU45L","DOORDASH DASHPASS      SAN FRANCISCO","9.99"
"Amigon Minna","28226","76","1VKWOGBF44BU45L","DOORDASH*DAIRY QUEEN   SAN FRANCISCO","29.11"
"Pugh Blondell","30808","2","EFT","EFT                    Santa Fe","393.25"
"Venere Art","31094","28","4.45E+12","EL TIEMPO CANTINA WEBS WEBSTER","95.57"
"Venere Art","31094","36","4.45E+12","TST* GEORGIA JAMES     HOUSTON","50.22"
"Venere Art","31094","40","8.50E+11","EMPIRE CAFE            HOUSTON","47.68"
"Venere Art","31094","51","8.50E+11","EMPIRE CAFE            HOUSTON","39.64"
"Venere Art","31094","53","4.45E+12","TEASE COLOR & STYLE BA HOUSTON","80.7"
"Venere Art","31094","66","8.50E+11","EMPIRE CAFE            HOUSTON","47.39"
"Garufi Meaghan","31452","18","4.45E+12","TARGET        00014597 PEARLAND","95.57"
"Garufi Meaghan","31452","20","4.45E+12","WM SUPERCENTER #3510   PEARLAND","139.49"
"Garufi Meaghan","31452","57","4.45E+12","TARGET        00014597 PEARLAND","200.21"
"Rulapaugh Kati","31593","12","4.45E+12","SPEC'S LIQUOR #186     SPRING","111.72"
"Dilliard Leota","32628","18","4.45E+12","TST* THE PIT ROOM      HOUSTON","34.53"
"Monica Abel","33555","10","4.45E+12","Best Buy		New York","10000.0"
"Inouye Veronika","33717","55","4.45E+12","TST* NOMAD - POLARIS   COLUMBUS","205.89"
"Inouye Veronika","33717","108","8.79E+12","JIMMY JOHNS - 426      EASTON","8.41"
"Ruta Graciela","33945","12","7.20E+14","SHOPRITE PARAMUS S1    PARAMUS","12.64"
"Maclead Abel","37226","57","7.20E+14","PARTY CITY 948         SCOTTSDALE","49.65"
"Maclead Abel","37226","62","7.20E+14","SAKS O5 SCOTTSDALE 844 SCOTTSDALE","86.43"
"Foller Donette","37466","3","6.94E+14","TRADER JOE'S #427 QPS  HOUSTON","24.72"
"Foller Donette","37466","6","5.39E+13","SQ *BLACK HOLE COFFEE  Houston","19.13"
"Foller Donette","37466","8","8.50E+11","EMPIRE CAFE            HOUSTON","37.15"
"Foller Donette","37466","29","5.35E+14","DUO COFFEE & PILATES   HOUSTON","10.72"
"Foller Donette","37466","32","5.35E+14","THAI SPICE RESTAURANT  HOUSTON","42.65"
"Foller Donette","37466","73","8.50E+11","EMPIRE CAFE            HOUSTON","4.19"
"Foller Donette","37466","95","5.39E+13","SQ *BLACK HOLE COFFEE  Houston","19.57"
"Foller Donette","37466","150","8.50E+11","EMPIRE CAFE            HOUSTON","40.42"
"Foller Donette","37466","172","5.39E+13","SQ *TOUT SUITE - EADO  Houston","20.8"
"Foller Donette","37466","175","5.39E+13","SQ *TOUT SUITE - EADO  Houston","20.8"
"Morasca Simona","38829","70","2.25E+11","CHAPULTEPEC LUPITA     HOUSTON","11.5"
"Morasca Simona","38829","88","2.25E+11","CHAPULTEPEC LUPITA     HOUSTON","11.5"
"Morasca Simona","38829","104","2.25E+11","CHAPULTEPEC LUPITA     HOUSTON","11.5"
"Morasca Simona","38829","125","2.25E+11","CHAPULTEPEC LUPITA     HOUSTON","11.0"
"Morasca Simona","38829","141","2.25E+11","CHAPULTEPEC LUPITA     HOUSTON","11.5"
"Joseph Dark","43991","26","4.45E+12","COSMO BLEU             BRIGHTON","276.52"
"Artie Venn","44891","10","4.45E+12","Best Buy		New York","10000.0"
"Don Fuller","53111","26","4.45E+12","COSMO BLEU             Hamilton","276.52"
"Mirasca Sam","53222","9","4.45E+12","CKE*EL CHARRO MEXICA 3 Ashland","13.0"
"Mirasca Sam","53222","10","4.45E+12","Kohls		Ashland","725.51"
"Anthony West","54891","9","4.45E+12","CKE*EL CHARRO MEXICA 3 Sioux Falls","13.0"
